Country,Store Count
Canada,1468
China,2734
United Kingdom,901
Indonesia,268
Japan,1237
Korea,993
Mexico,579
Malaysia,234
Philippines,298
Thailand,289
Turkey,326
Taiwan,394
United States,13608
